country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop),Education: Government expenditure (% of GDP),Education: Primary gross enrol ratio (f/m per 100 pop),Education: Secondary gross enrol ratio (f/m per 100 pop),Education: Tertiary gross enrol ratio (f/m per 100 pop),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants)39,Mobile-cellular subscriptions (per 100 inhabitants)40,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop using improved drinking water (urban/rural, %)","Pop using improved sanitation facilities (urban/rural, %)","Life expectancy at birth (females/males, years)_female","Life expectancy at birth (females/males, years)_male",Labour force participation (female/male pop %)_female,Labour force participation (female/male pop %)_male
Afghanistan,SouthernAsia,652864.0,35530,54.4,106.3,20270.0,-0.024,623.2,0.233,0.233,0.5329999999999999,0.616,0.1,0.285,0.086,125,125,1458,3568,-2110,-5121,0.032,0.267,0.04,5.3,43.2/4.1,382.4/1.2,1513.1,68.6,0.08199999999999999,0.3,0.033,91.1/131.6,39.7/70.7,3.7/13.3,0.27699999999999997,61.6,8.3,0.42,2.1,63,5,78.2/47.0,45.1/27.0,21.43,63.5,61.0,0.193,0.836
Albania,SouthernEurope,28748.0,2930,106.9,101.9,11541.0,0.026000000000000002,3984.2,0.22399999999999998,0.26,0.517,0.414,0.183,0.40299999999999997,0.158,134,134,1962,4669,-2707,-1222,-0.001,0.574,0.022000000000000002,1.7,17.4/19.0,57.6/2.0,8.8,14.6,0.059000000000000004,1.3,0.035,111.7/115.5,92.5/98.8,68.1/48.7,0.22899999999999998,106.4,63.3,1.3,28.2,84,36,94.9/95.2,95.5/90.2,2.96,79.9,75.6,0.402,0.61
Algeria,NorthernAfrica,2381741.0,41318,17.3,102.0,164779.0,0.038,4154.1,0.122,0.373,0.505,0.10800000000000001,0.345,0.547,0.114,160,161,29992,47091,-17099,-27229,0.02,0.7070000000000001,0.027999999999999997,3.0,29.3/9.4,242.4/0.6,99.8,27.7,0.07200000000000001,1.6400000000000001,,112.7/119.5,101.7/98.1,45.1/28.9,0.316,113.0,38.2,1.35,0.8,5900,55,84.3/81.8,89.8/82.2,0.05,76.5,74.1,0.17,0.7070000000000001
American Samoa,Polynesia,199.0,56,278.2,103.6,20658.0,0.027999999999999997,5488.2,,0.26,0.605,,,,0.065,112,112,,,,,0.012,0.872,-0.001,2.6,33.3/9.0,23.2/41.8,,9.6,0.0794,1.7,,,,,,,,0.92,87.9,,46,100.0/100.0,62.5/62.5,31.523333333333337,77.8,71.1,0.521,0.735
Andorra,SouthernEurope,468.0,77,163.8,102.3,2812.0,0.008,39896.4,0.005,0.10800000000000001,0.8859999999999999,,,,0.065,,112,100,1355,-1255,,-0.016,0.851,0.001,1.2,14.4/19.0,42.1/59.7,,,0.081,3.7,0.033,,,,0.321,88.1,96.9,0.13,34.0,1,119,100.0/100.0,100.0/100.0,2.136,76.2,69.4,0.521,0.735
Angola,MiddleAfrica,1246700.0,29784,23.9,96.2,117955.0,0.03,4714.1,0.068,0.512,0.42,0.042,0.376,0.5820000000000001,0.066,175,176,21011,8790,12221,-10273,0.035,0.441,0.05,6.0,46.8/4.0,106.8/0.4,45.7,65.4,0.033,1.7,,100.4/156.9,22.7/35.1,8.2/10.4,0.382,60.8,12.4,1.46,46.5,3902,25,75.4/28.2,88.6/22.5,0.42,63.0,57.4,0.598,0.7709999999999999
Anguilla,Caribbean,91.0,15,165.7,97.6,320.0,0.028999999999999998,21879.6,0.023,0.157,0.82,,,,0.065,,112,2,154,-153,-48,0.012,1.0,0.012,2.3,23.3/7.6,5.5/37.4,~0.0,,0.06699999999999999,4.5,,,,,,177.9,76.0,0.52,61.1,0,136,94.6/...,97.9/...,2.7011111111111115,76.2,69.4,0.521,0.735
Antigua and Barbuda,Caribbean,442.0,102,231.8,92.3,1356.0,0.040999999999999995,14764.5,0.019,0.183,0.7979999999999999,,,,0.065,88,88,61,491,-429,-204,0.011000000000000001,0.23800000000000002,-0.009000000000000001,2.1,23.9/10.9,28.1/30.6,~0.0,9.1,0.055,4.5,,94.1/100.0,103.8/101.6,31.1/15.1,0.111,137.2,65.2,0.55,22.3,,84,97.9/97.9,91.4/91.4,0.12,78.2,73.3,0.521,0.735
Argentina,SouthAmerica,2780400.0,44271,16.2,95.9,632343.0,0.024,14564.5,0.06,0.278,0.662,0.02,0.248,0.731,0.065,119,119,57733,55610,2124,-15944,0.01,0.9179999999999999,0.01,2.3,24.9/15.4,2086.3/4.8,5.0,13.7,0.048,3.8,0.053,109.8/110.2,110.3/103.4,102.9/63.5,0.389,143.9,69.4,2.56,10.0,3167,85,99.0/100.0,96.2/98.3,0.01,79.8,72.2,0.486,0.7440000000000001
Armenia,WesternAsia,29743.0,2930,102.9,88.8,10529.0,0.03,3489.1,0.19,0.28300000000000003,0.528,0.35,0.157,0.493,0.166,135,135,1776,3230,-1455,-279,0.003,0.627,-0.001,1.6,20.0/16.9,191.2/6.3,19.3,13.2,0.045,2.8,0.027999999999999997,98.5/98.5,89.0/88.1,46.9/41.6,0.099,115.2,58.2,1.14,11.7,48,46,100.0/100.0,96.2/78.2,3.17,77.0,70.6,0.5529999999999999,0.742
