category,country
country_only,American Samoa
country_only,Anguilla
country_only,Aruba
country_only,Bermuda
country_only,Bonaire
country_only,British Virgin Islands
country_only,Cayman Islands
country_only,Channel Islands
country_only,Congo
country_only,Cook Islands
country_only,Democratic Republic of the Congo
country_only,Falkland Islands (Malvinas)
country_only,Faroe Islands
country_only,French Guiana
country_only,French Polynesia
country_only,Gibraltar
country_only,Guadeloupe
country_only,Guam
country_only,Hong Kong
country_only,Isle of Man
country_only,Kiribati
country_only,Macau
country_only,Marshall Islands
country_only,Martinique
country_only,Mayotte
country_only,Micronesia (Federated States of)
country_only,Montserrat
country_only,Nauru
country_only,New Caledonia
country_only,Niue
country_only,North Korea
country_only,Northern Mariana Islands
country_only,Palau
country_only,Puerto Rico
country_only,Saint Helena
country_only,Saint Pierre and Miquelon
country_only,Samoa
country_only,Sint Maarten (Dutch part)
country_only,Solomon Islands
country_only,Tokelau
country_only,Tonga
country_only,Turkmenistan
country_only,Turks and Caicos Islands
country_only,Tuvalu
country_only,United States Virgin Islands
country_only,Vanuatu
country_only,Wallis and Futuna Islands
covid_only,Congo (Brazzaville)
covid_only,Congo (Kinshasa)
covid_only,Cote d'Ivoire
covid_only,Kosovo
covid_only,Taiwan*
