feature,importance
"Pop using improved sanitation facilities (urban/rural, %)",0.022751169978704633
CO2_emissions,0.022119484600362064
International trade: Imports (million US$),0.022115902390864615
Urban population growth rate (average annual %),0.021139496259583203
"Population density (per km2, 2017)",0.02095185581863194
Internet_usage,0.019394978178606765
Health_expenditure,0.01916741302774476
Labour force participation (female/male pop %)_male,0.019103071786808527
"Balance of payments, current account (million US$)",0.018907285064478953
Employment: Industry (% of employed),0.018751856107183832
Population growth rate (average annual %),0.01851847275126806
"Sex ratio (m per 100 f, 2017)",0.01832569025475445
GDP: Gross domestic product (million current US$),0.018256900645678184
Mobile-cellular subscriptions (per 100 inhabitants)39,0.01785722576918776
Seats held by women in national parliaments %,0.017688713019310826
Economy: Services and other activity (% of GVA),0.01759013153457766
Labour force participation (female/male pop %)_female,0.017572224376991304
Employment: Services (% of employed),0.016953270789650546
gdp_health_ratio,0.016945708584282806
Surface area (km2),0.01666430407840664
"Energy production, primary (Petajoules)",0.01650380575912687
GDP_per_capita,0.016134599707101405
Population,0.016043325934546004
Unemployment (% of labour force),0.015729543133479396
Urban population (% of total population),0.015628399524881032
International trade: Balance (million US$),0.015611235682167829
Economy: Agriculture (% of GVA),0.015163300999270237
Life_expectancy,0.015021839734578775
Employment: Agriculture (% of employed),0.014713663528572207
Life_expectancy_male,0.014586280872024657
Economy: Industry (% of GVA),0.014578223364470249
Mobile-cellular subscriptions (per 100 inhabitants)40,0.014462679647179478
Health: Physicians (per 1000 pop),0.014253858908225073
Food production index (2004-2006=100),0.014121323124751338
Education: Government expenditure (% of GDP),0.013346967002028389
"GDP growth rate (annual %, const 2005 prices)",0.013275771405664412
Life_expectancy_female,0.013205434393643405
"Fertility rate, total (live births per woman)",0.011785354745520784
Region_WesternAsia,0.004072215430041817
Energy supply per capita (Gigajoules)_100.0/100.0,0.002180530772911539
Region_WesternEurope,0.00214005777289367
Refugees and others of concern to UNHCR (in thousands)_~0.0,0.0020561388143592665
Region_NorthernAfrica,0.0019568736802337613
Region_EasternAfrica,0.0019494696116690005
Region_NorthernEurope,0.0016950133909851533
Region_SouthAmerica,0.00160876852292053
Agricultural production index (2004-2006=100)_108,0.0016064616660155739
Region_South-easternAsia,0.001595626817771536
"Pop using improved drinking water (urban/rural, %)_100.0/100.0",0.0015660468100150773
Region_WesternAfrica,0.001381609358145052
Region_EasternAsia,0.0012861178090025425
Agricultural production index (2004-2006=100)_112,0.0012535086116569358
Region_Oceania,0.0011032279249008157
Region_SouthernEurope,0.001059754976115689
Region_CentralAmerica,0.0010119687810825168
Agricultural production index (2004-2006=100)_98,0.0010075675408104231
Agricultural production index (2004-2006=100)_88,0.0009393256230381869
Agricultural production index (2004-2006=100)_102,0.0009270936752575182
Region_MiddleAfrica,0.0009190159391487843
Region_EasternEurope,0.0008921340357467812
Agricultural production index (2004-2006=100)_96,0.0008626259631132359
Agricultural production index (2004-2006=100)_117,0.000857063039403145
Agricultural production index (2004-2006=100)_126,0.0008512565823837004
Energy supply per capita (Gigajoules)_98.2/98.3,0.0008449009033588204
International trade: Exports (million US$)_2019,0.0008296869096151745
Region_SouthernAsia,0.0008224570997311644
Refugees and others of concern to UNHCR (in thousands)_7.9,0.0007936167024369872
"Population age distribution (0-14 / 60+ years, %)_47.1/4.0",0.0007907554594114471
Energy supply per capita (Gigajoules)_99.0/99.0,0.0007762157519419376
Agricultural production index (2004-2006=100)_111,0.0007703930242691312
Infant mortality rate (per 1000 live births_6.5,0.0007599460035890352
Threatened species (number)_50.8,0.0007589819046131094
Education: Primary gross enrol ratio (f/m per 100 pop)_100.3/100.5,0.0007560061010130541
Agricultural production index (2004-2006=100)_130,0.0007529434664309134
International migrant stock (000/% of total pop)_741.8/14.2,0.0007519704871154765
International trade: Exports (million US$)_1423,0.0007468578705858913
Region_CentralAsia,0.0007332449591905016
International trade: Exports (million US$)_9908,0.0007118074293892186
Infant mortality rate (per 1000 live births_9.1,0.0007106944622164981
"Pop using improved drinking water (urban/rural, %)_99.4/98.2",0.0007075751320456531
